"","k = 2","k = 3","k = 4","k = 5","k = 6","k = 7","k = 8","k = 9","k = 10"
"1",0.938219623250454,0.984271154582051,0.726541936533738,0.591401375081313,0.677451890554064,0.716676754094921,0.57681082358455,0.449964701107612,0.53297683408842
"2",0.740494307012039,0.983217888819433,0.912967272408016,0.720952359449162,0.538983994522323,0.537512460956039,0.515347064357719,0.531702360042427,0.634122447591997
"3",0.962943069559115,0.990386529469548,0.88211043964867,0.719379400677083,0.579123304417249,0.648180176595499,0.581399336673133,0.719040441547581,0.543553463813455
"4",0.748004563401661,0.9886049484007,0.950154965230356,0.564452767761903,0.618845459650903,0.763099346030295,0.574427345059645,0.399190191560554,0.51786993796709
"5",0.748006756345063,0.955991065004991,0.880546762354883,0.697034721883764,0.634799416997622,0.512200278002685,0.513552457426005,0.441402197939602,0.503876419852184
"6",0.818585190689911,0.981786948242517,0.687126347597295,0.622887221394705,0.583714626164057,0.489101024563325,0.426245088776289,0.478834657345703,0.607765340625012
"7",0.587511897869544,0.959816688660552,0.600911938229801,0.685578382545761,0.719762257091235,0.531651435135799,0.668304215905236,0.529747249279418,0.550347680515892
"8",0.732371051272993,0.957345357643026,0.622835623007671,0.740495854469596,0.649591164870935,0.526581164062649,0.474757051462179,0.650349873388851,0.457269640493913
"9",0.743521681329081,0.98977206282591,0.909086935446517,0.769679295705015,0.677900708965879,0.710308346007086,0.518108520747551,0.522837024134923,0.456504650990149
"10",0.989354224071784,0.985298978507561,0.849193328615236,0.861067732602735,0.667635606783127,0.525086896235698,0.587503507507169,0.520398237645675,0.569995306597558
"11",0.746126323983571,0.989581594444946,0.934263614197131,0.802251724470019,0.662635322249085,0.580316475121466,0.673424282317087,0.590069291838637,0.561967675970066
"12",0.864615860506466,0.985908168384401,0.721122655848221,0.785412443848354,0.712787928817588,0.558899223073449,0.678259576112604,0.494460994711442,0.449484508453042
"13",0.966567880783542,0.982805394724977,0.927560616020893,0.800682527331942,0.758668033489972,0.634596148913353,0.528031615990871,0.451546243854157,0.518703095892362
"14",0.739583224794606,0.986461159398383,0.908834443860951,0.743131232567822,0.835998714040772,0.608005703289814,0.469227625605244,0.678742120473837,0.567690692313544
"15",0.728169081577935,0.954865363187162,0.750221443467598,0.908640527851093,0.633993485552887,0.585093873391053,0.547614389208229,0.551721960814609,0.515707977060068
"16",0.738306498605539,0.958185977197963,0.895908203492059,0.739847668226252,0.615238208185958,0.634076551396621,0.635354662688141,0.450177023685871,0.466910116277609
"17",0.991708119880014,0.956735633734843,0.62149889413216,0.768576055823342,0.608377011353781,0.565047412603552,0.491669651289925,0.677812005052488,0.605772846091162
"18",0.972884415732972,0.969633586109143,0.617887170594605,0.683469924892648,0.682895313154148,0.594765115258112,0.487966556953921,0.639778697590127,0.46546596116738
"19",0.609901109798484,0.964399075128986,0.962764001363747,0.723741783852972,0.660932392744431,0.59781316416529,0.573951420340027,0.496253313620259,0.427152453209111
"20",0.980152398999761,0.988717210936529,0.903005181881024,0.678857002948051,0.605082125449669,0.548094095670831,0.438108159844338,0.544408691422763,0.548752841220674
"21",0.514208159232685,0.968928362372923,0.611196188928433,0.811417556708262,0.695629722523181,0.622476665656475,0.518566738347924,0.5019697565685,0.565828756343151
"22",0.846449158133811,0.953435115141026,0.942244635674836,0.843010665857042,0.658439230339078,0.65463810342847,0.524572966762552,0.592673969704355,0.478557058451706
"23",0.978350235237852,0.940904645822485,0.95621415456419,0.938505474449103,0.712544439850413,0.602500237979856,0.551191791949279,0.626333310277392,0.488694043641715
"24",0.970531759649346,0.982665927769006,0.882929180506421,0.882513715789531,0.69291168136577,0.50178337849421,0.550775440497582,0.641173660712209,0.668839381728106
"25",0.732289483063984,0.982175461281874,0.633351843044879,0.785226545732009,0.618897196428654,0.572426276676225,0.459534238539139,0.7019831326074,0.612965431080269
"26",0.734267105584039,0.969977490682515,0.920547497194396,0.635427377603972,0.60774275707987,0.656323009012433,0.402087634492644,0.562962148808121,0.586397720686805
"27",0.519751933082173,0.990670152967445,0.832774848723231,0.862932831867194,0.629479641864265,0.623746278656316,0.492683124149237,0.532491753248345,0.458892707840948
"28",0.988488598631804,0.986320531640508,0.952141676174041,0.688587114652027,0.563517229689106,0.542230990938946,0.523005597981548,0.616584819696346,0.680199113460584
"29",0.990263291906133,0.964469518313542,0.86404376525762,0.782157052403931,0.746097278574824,0.786485365488976,0.464764545043258,0.574699312957462,0.523863494472365
"30",0.750073076129876,0.953919740098606,0.966159558562078,0.834751127448134,0.535314717892016,0.495105174909228,0.518865109137774,0.501070997820096,0.514829237998598
"31",0.734395277254984,0.969911634580001,0.605356771097068,0.898590206384142,0.63986991560965,0.57587330232783,0.4706215624725,0.524137963292985,0.477248700704592
"32",0.964210878162798,0.978870392947732,0.675490851644713,0.876659757117923,0.718042085611829,0.629973796414824,0.49691337315326,0.610821518234805,0.462326440610537
"33",0.982046889201698,0.987618271153496,0.947762599640605,0.8568134182975,0.908232357177868,0.604779282477571,0.476077891652754,0.434530287834412,0.627037970531575
"34",0.587376993792285,0.989439834065754,0.611851231104403,0.823997301967864,0.721027074975066,0.72615464191786,0.492258717531443,0.513657434882357,0.502875115091852
"35",0.734438376976261,0.984129452487883,0.916270071349438,0.691068965011909,0.471929735067566,0.853343276520834,0.478019478463351,0.657625095399044,0.472822606748249
"36",0.95994205556569,0.957619935335705,0.903176437544149,0.891839104738098,0.662843966554926,0.538999485834584,0.518850928120709,0.382302129745863,0.500825991414625
"37",0.755583046044932,0.95710230375513,0.939189244007804,0.621063938825162,0.608983466991695,0.469779826239624,0.635049511779208,0.513527987493881,0.587057408095921
"38",0.868879695019979,0.956879154289238,0.82007572196673,0.884816214241048,0.651778905513969,0.561157386737864,0.545876466761851,0.466451004911118,0.443927654466274
"39",0.743968459079454,0.957146924615672,0.631050173718578,0.616732201388965,0.572072016289157,0.668100682860348,0.529533050907376,0.435620670140661,0.440423155882755
"40",0.873178215922982,0.983858831147854,0.910062996174094,0.600780182625148,0.538496339932541,0.629346712193853,0.644660892181439,0.548352278263461,0.521842601987282
"41",0.543705612338282,0.967727378514811,0.885823438369452,0.805986634731438,0.767516226873894,0.665955269188761,0.521413080921831,0.525490323673876,0.476661060900184
"42",0.964159252303684,0.984796383618526,0.934588592749009,0.698312171918685,0.663405768681725,0.436122811947163,0.459224721568085,0.642725565320762,0.489915624116916
"43",0.734179260550333,0.990556960920629,0.950800026155198,0.938560166261889,0.553312347415548,0.62398781203616,0.646431487506463,0.647489469306341,0.551699624146185
